date,peak_mwh,peak_hour
2025-04-01,112620.7890693582,13
2025-04-02,112214.46963313154,13
2025-04-03,111180.13690714429,13
2025-04-04,110283.81671953756,13
2025-04-05,97689.58968663053,13
2025-04-06,97233.58788362496,13
2025-04-07,108060.81577609341,13
2025-04-08,108340.13759751288,13
2025-04-09,107938.97913334494,13
2025-04-10,107280.98961173782,13
2025-04-11,106351.3522880706,13
2025-04-12,93660.4108495936,13
2025-04-13,92822.591923609,13
2025-04-14,103636.53165520186,13
2025-04-15,105123.00620908178,13
2025-04-16,105618.7737006738,13
2025-04-17,104892.20707266257,13
2025-04-18,103470.24502263014,13
2025-04-19,91113.16830029609,13
2025-04-20,90734.66453682214,13
2025-04-21,101414.5337168949,13
2025-04-22,101993.69294536496,13
2025-04-23,101152.38247147067,13
2025-04-24,99879.76700182908,13
2025-04-25,99127.66654907745,13
2025-04-26,88248.03754168931,13
2025-04-27,88369.2473751575,13
2025-04-28,98663.44694266417,13
2025-04-29,99158.17355181806,13
2025-04-30,98708.2793883074,13
2025-05-01,97880.94300856172,13
2025-05-02,97001.72673336128,13
2025-05-03,85762.60618534678,13
2025-05-04,85297.9563169195,13
2025-05-05,94933.24794046878,13
2025-05-06,95198.00627144857,13
2025-05-07,94231.24095025471,13
2025-05-08,92748.3792194894,13
2025-05-09,91594.20805452034,13
2025-05-10,81150.80637320652,13
2025-05-11,80831.692268094,13
2025-05-12,89559.43025894092,13
2025-05-13,89186.77577985605,13
2025-05-14,88208.35742283617,13
2025-05-15,87566.3137283714,13
2025-05-16,87404.31274191153,13
2025-05-17,77709.7171042343,13
2025-05-18,77056.86150968014,13
2025-05-19,85036.83260248128,13
2025-05-20,84905.7172132091,13
2025-05-21,84324.65863081277,13
2025-05-22,83423.23449054238,13
2025-05-23,82289.1747871268,13
2025-05-24,72431.61145714778,13
2025-05-25,71889.18107888324,13
2025-05-26,80147.99236349517,13
2025-05-27,80810.13325211326,13
2025-05-28,80486.70381654604,13
2025-05-29,79589.77740690333,13
2025-05-30,78736.15988539407,13
2025-05-31,69760.76117356036,13
2025-06-01,69483.63102054375,13
2025-06-02,77217.26215753901,13
2025-06-03,77400.4773503802,13
2025-06-04,76865.28368425425,13
2025-06-05,76014.30924653643,13
2025-06-06,75073.7450946097,13
2025-06-07,66187.45007116086,13
2025-06-08,65652.2437352534,13
2025-06-09,73046.87798688665,13
2025-06-10,73543.30910512674,13
2025-06-11,73075.76489617699,13
2025-06-12,71912.10640038678,13
2025-06-13,70782.24489225297,13
2025-06-14,62758.26477659212,13
2025-06-15,63005.19247740642,13
2025-06-16,70700.7179440499,13
2025-06-17,71148.31929661534,13
2025-06-18,70370.92598726021,13
2025-06-19,69243.60141864115,13
2025-06-20,68493.34878567405,13
2025-06-21,60830.22714384178,13
2025-06-22,60571.99642071177,13
2025-06-23,67110.90906278217,13
2025-06-24,67175.27366307324,13
2025-06-25,66869.50815736766,13
2025-06-26,66532.90242132841,13
2025-06-27,66217.9726541755,13
2025-06-28,58820.90433551332,13
2025-06-29,58590.933181747394,13
2025-06-30,65217.53631843695,13
2025-07-01,65639.17872400362,13
2025-07-02,65343.998445185454,13
2025-07-03,64670.21798063037,13
2025-07-04,64051.15734484653,13
2025-07-05,56853.55609138661,13
2025-07-06,56625.40623662667,13
